a,b,c,ballots,percentage
LONDON BREED,AMY FARAH WEISS,ANGELA ALIOTO,325,0.128
LONDON BREED,ELLEN LEE ZHOU,RICHIE GREENBERG,321,0.126
JANE KIM,ELLEN LEE ZHOU,MARK LENO,319,0.126
JANE KIM,MARK LENO,RICHIE GREENBERG,318,0.125
LONDON BREED,AMY FARAH WEISS,ELLEN LEE ZHOU,316,0.124
MARK LENO,ANGELA ALIOTO,ELLEN LEE ZHOU,311,0.122
ANGELA ALIOTO,LONDON BREED,ELLEN LEE ZHOU,308,0.121
LONDON BREED,AMY FARAH WEISS,MARK LENO,302,0.119
MARK LENO,JANE KIM,MARK LENO,299,0.118
LONDON BREED,JANE KIM,MICHELLE BRAVO,292,0.115
ELLEN LEE ZHOU,LONDON BREED,,290,0.114
MARK LENO,ANGELA ALIOTO,MICHELLE BRAVO,290,0.114
LONDON BREED,ELLEN LEE ZHOU,MICHELLE BRAVO,287,0.113
LONDON BREED,JANE KIM,RICHIE GREENBERG,275,0.108
ELLEN LEE ZHOU,MARK LENO,JANE KIM,274,0.108
ANGELA ALIOTO,RICHIE GREENBERG,LONDON BREED,270,0.106
JANE KIM,ELLEN LEE ZHOU,ANGELA ALIOTO,269,0.106
LONDON BREED,MICHELLE BRAVO,ELLEN LEE ZHOU,268,0.106
LONDON BREED,RICHIE GREENBERG,ELLEN LEE ZHOU,261,0.103
ELLEN LEE ZHOU,LONDON BREED,RICHIE GREENBERG,259,0.102
ANGELA ALIOTO,RICHIE GREENBERG,,259,0.102
JANE KIM,MARK LENO,JANE KIM,249,0.098
LONDON BREED,MARK LENO,LONDON BREED,249,0.098
RICHIE GREENBERG,ANGELA ALIOTO,MARK LENO,245,0.096
JANE KIM,ANGELA ALIOTO,,244,0.096
JANE KIM,ANGELA ALIOTO,AMY FARAH WEISS,240,0.094
MARK LENO,RICHIE GREENBERG,ANGELA ALIOTO,236,0.093
LONDON BREED,LONDON BREED,MARK LENO,232,0.091
LONDON BREED,RICHIE GREENBERG,AMY FARAH WEISS,230,0.091
ANGELA ALIOTO,LONDON BREED,AMY FARAH WEISS,227,0.089
MARK LENO,ELLEN LEE ZHOU,LONDON BREED,226,0.089
LONDON BREED,LONDON BREED,,220,0.087
ANGELA ALIOTO,RICHIE GREENBERG,AMY FARAH WEISS,218,0.086
LONDON BREED,AMY FARAH WEISS,JANE KIM,217,0.085
ANGELA ALIOTO,RICHIE GREENBERG,MARK LENO,217,0.085
LONDON BREED,AMY FARAH WEISS,RICHIE GREENBERG,215,0.085
ELLEN LEE ZHOU,RICHIE GREENBERG,LONDON BREED,209,0.082
RICHIE GREENBERG,LONDON BREED,,208,0.082
LONDON BREED,MICHELLE BRAVO,ANGELA ALIOTO,207,0.081
RICHIE GREENBERG,MARK LENO,LONDON BREED,203,0.08
RICHIE GREENBERG,LONDON BREED,MARK LENO,201,0.079
MARK LENO,RICHIE GREENBERG,LONDON BREED,200,0.079
LONDON BREED,AMY FARAH WEISS,MICHELLE BRAVO,197,0.078
ANGELA ALIOTO,ELLEN LEE ZHOU,LONDON BREED,194,0.076
AMY FARAH WEISS,MARK LENO,JANE KIM,189,0.074
ELLEN LEE ZHOU,ANGELA ALIOTO,MARK LENO,187,0.074
LONDON BREED,ANGELA ALIOTO,LONDON BREED,187,0.074
JANE KIM,AMY FARAH WEISS,LONDON BREED,187,0.074
MARK LENO,LONDON BREED,MICHELLE BRAVO,186,0.073
ELLEN LEE ZHOU,JANE KIM,ANGELA ALIOTO,182,0.072
LONDON BREED,LONDON BREED,JANE KIM,182,0.072
LONDON BREED,MICHELLE BRAVO,AMY FARAH WEISS,180,0.071
MARK LENO,LONDON BREED,MARK LENO,180,0.071
ANGELA ALIOTO,MARK LENO,AMY FARAH WEISS,180,0.071
ANGELA ALIOTO,RICHIE GREENBERG,ELLEN LEE ZHOU,177,0.07
LONDON BREED,LONDON BREED,ANGELA ALIOTO,175,0.069
MARK LENO,RICHIE GREENBERG,AMY FARAH WEISS,173,0.068
ELLEN LEE ZHOU,MARK LENO,ANGELA ALIOTO,172,0.068
MARK LENO,ELLEN LEE ZHOU,JANE KIM,172,0.068
RICHIE GREENBERG,MARK LENO,ANGELA ALIOTO,172,0.068
ANGELA ALIOTO,JANE KIM,,171,0.067
ANGELA ALIOTO,MARK LENO,MICHELLE BRAVO,169,0.067
RICHIE GREENBERG,ANGELA ALIOTO,ELLEN LEE ZHOU,168,0.066
JANE KIM,LONDON BREED,MICHELLE BRAVO,164,0.065
LONDON BREED,AMY FARAH WEISS,,161,0.063
MARK LENO,AMY FARAH WEISS,LONDON BREED,160,0.063
ANGELA ALIOTO,ELLEN LEE ZHOU,RICHIE GREENBERG,158,0.062
LONDON BREED,RICHIE GREENBERG,MICHELLE BRAVO,157,0.062
MARK LENO,RICHIE GREENBERG,,156,0.061
ANGELA ALIOTO,MARK LENO,ELLEN LEE ZHOU,154,0.061
MARK LENO,RICHIE GREENBERG,JANE KIM,152,0.06
RICHIE GREENBERG,ELLEN LEE ZHOU,ANGELA ALIOTO,151,0.059
MARK LENO,ELLEN LEE ZHOU,ANGELA ALIOTO,150,0.059
JANE KIM,LONDON BREED,RICHIE GREENBERG,148,0.058
ANGELA ALIOTO,JANE KIM,ELLEN LEE ZHOU,148,0.058
ANGELA ALIOTO,LONDON BREED,MICHELLE BRAVO,147,0.058
ANGELA ALIOTO,AMY FARAH WEISS,ELLEN LEE ZHOU,145,0.057
ELLEN LEE ZHOU,ANGELA ALIOTO,,138,0.054
LONDON BREED,JANE KIM,LONDON BREED,138,0.054
ANGELA ALIOTO,JANE KIM,AMY FARAH WEISS,137,0.054
RICHIE GREENBERG,MARK LENO,JANE KIM,137,0.054
LONDON BREED,RICHIE GREENBERG,JANE KIM,136,0.054
JANE KIM,ELLEN LEE ZHOU,,136,0.054
JANE KIM,AMY FARAH WEISS,ANGELA ALIOTO,134,0.053
ANGELA ALIOTO,RICHIE GREENBERG,MICHELLE BRAVO,134,0.053
RICHIE GREENBERG,MARK LENO,,133,0.052
MARK LENO,MARK LENO,JANE KIM,130,0.051
MARK LENO,AMY FARAH WEISS,ANGELA ALIOTO,127,0.05
JANE KIM,ELLEN LEE ZHOU,AMY FARAH WEISS,126,0.05
RICHIE GREENBERG,ANGELA ALIOTO,JANE KIM,126,0.05
LONDON BREED,ANGELA ALIOTO,ANGELA ALIOTO,126,0.05
RICHIE GREENBERG,ELLEN LEE ZHOU,,126,0.05
ANGELA ALIOTO,ELLEN LEE ZHOU,AMY FARAH WEISS,125,0.049
ELLEN LEE ZHOU,RICHIE GREENBERG,,123,0.048
ANGELA ALIOTO,ELLEN LEE ZHOU,MICHELLE BRAVO,121,0.048
ANGELA ALIOTO,ELLEN LEE ZHOU,MARK LENO,119,0.047
JANE KIM,JANE KIM,MARK LENO,113,0.044
MARK LENO,MARK LENO,LONDON BREED,111,0.044
LONDON BREED,MICHELLE BRAVO,RICHIE GREENBERG,109,0.043
MARK LENO,JANE KIM,JANE KIM,108,0.043
MARK LENO,ELLEN LEE ZHOU,RICHIE GREENBERG,106,0.042
ELLEN LEE ZHOU,ANGELA ALIOTO,AMY FARAH WEISS,106,0.042
ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,105,0.041
LONDON BREED,MICHELLE BRAVO,JANE KIM,104,0.041
LONDON BREED,MARK LENO,MARK LENO,104,0.041
ANGELA ALIOTO,JANE KIM,RICHIE GREENBERG,103,0.041
LONDON BREED,MICHELLE BRAVO,MARK LENO,101,0.04
JANE KIM,AMY FARAH WEISS,ELLEN LEE ZHOU,99,0.039
RICHIE GREENBERG,ANGELA ALIOTO,AMY FARAH WEISS,99,0.039
MARK LENO,RICHIE GREENBERG,ELLEN LEE ZHOU,98,0.039
ELLEN LEE ZHOU,ANGELA ALIOTO,JANE KIM,97,0.038
MARK LENO,LONDON BREED,LONDON BREED,97,0.038
ANGELA ALIOTO,MICHELLE BRAVO,ELLEN LEE ZHOU,96,0.038
RICHIE GREENBERG,ELLEN LEE ZHOU,LONDON BREED,95,0.037
RICHIE GREENBERG,JANE KIM,MARK LENO,95,0.037
RICHIE GREENBERG,ANGELA ALIOTO,MICHELLE BRAVO,95,0.037
ELLEN LEE ZHOU,MARK LENO,,95,0.037
ANGELA ALIOTO,AMY FARAH WEISS,RICHIE GREENBERG,94,0.037
MARK LENO,ELLEN LEE ZHOU,,93,0.037
ANGELA ALIOTO,AMY FARAH WEISS,MICHELLE BRAVO,93,0.037
MARK LENO,RICHIE GREENBERG,MICHELLE BRAVO,93,0.037
RICHIE GREENBERG,LONDON BREED,JANE KIM,93,0.037
RICHIE GREENBERG,LONDON BREED,ELLEN LEE ZHOU,93,0.037
ANGELA ALIOTO,AMY FARAH WEISS,LONDON BREED,91,0.036
,LONDON BREED,,91,0.036
ANGELA ALIOTO,LONDON BREED,ANGELA ALIOTO,90,0.035
ANGELA ALIOTO,RICHIE GREENBERG,JANE KIM,90,0.035
JANE KIM,ELLEN LEE ZHOU,MICHELLE BRAVO,89,0.035
ELLEN LEE ZHOU,RICHIE GREENBERG,AMY FARAH WEISS,89,0.035
MARK LENO,AMY FARAH WEISS,,88,0.035
MARK LENO,ANGELA ALIOTO,MARK LENO,88,0.035
ELLEN LEE ZHOU,JANE KIM,,87,0.034
MARK LENO,AMY FARAH WEISS,ELLEN LEE ZHOU,87,0.034
ANGELA ALIOTO,ELLEN LEE ZHOU,,87,0.034
JANE KIM,ANGELA ALIOTO,RICHIE GREENBERG,86,0.034
JANE KIM,MARK LENO,MARK LENO,86,0.034
LONDON BREED,,MARK LENO,85,0.033
ANGELA ALIOTO,MICHELLE BRAVO,AMY FARAH WEISS,85,0.033
ELLEN LEE ZHOU,RICHIE GREENBERG,MICHELLE BRAVO,83,0.033
ANGELA ALIOTO,AMY FARAH WEISS,JANE KIM,82,0.032
MARK LENO,AMY FARAH WEISS,RICHIE GREENBERG,82,0.032
AMY FARAH WEISS,JANE KIM,LONDON BREED,82,0.032
MARK LENO,AMY FARAH WEISS,MICHELLE BRAVO,81,0.032
ANGELA ALIOTO,MICHELLE BRAVO,RICHIE GREENBERG,81,0.032
MARK LENO,ELLEN LEE ZHOU,AMY FARAH WEISS,81,0.032
RICHIE GREENBERG,JANE KIM,LONDON BREED,80,0.031
JANE KIM,ANGELA ALIOTO,MICHELLE BRAVO,80,0.031
JANE KIM,LONDON BREED,JANE KIM,80,0.031
MARK LENO,MARK LENO,,80,0.031
ELLEN LEE ZHOU,RICHIE GREENBERG,MARK LENO,78,0.031
RICHIE GREENBERG,ELLEN LEE ZHOU,MARK LENO,77,0.03
ELLEN LEE ZHOU,ANGELA ALIOTO,MICHELLE BRAVO,76,0.03
ANGELA ALIOTO,JANE KIM,MICHELLE BRAVO,75,0.03
MICHELLE BRAVO,MICHELLE BRAVO,MICHELLE BRAVO,74,0.029
,MARK LENO,,74,0.029
ELLEN LEE ZHOU,MARK LENO,RICHIE GREENBERG,72,0.028
MARK LENO,MARK LENO,ANGELA ALIOTO,72,0.028
ANGELA ALIOTO,MARK LENO,ANGELA ALIOTO,71,0.028
AMY FARAH WEISS,,,71,0.028
LONDON BREED,,ANGELA ALIOTO,71,0.028
JANE KIM,AMY FARAH WEISS,,70,0.028
RICHIE GREENBERG,ELLEN LEE ZHOU,AMY FARAH WEISS,70,0.028
MARK LENO,MICHELLE BRAVO,ANGELA ALIOTO,69,0.027
AMY FARAH WEISS,LONDON BREED,MARK LENO,68,0.027
RICHIE GREENBERG,MARK LENO,ELLEN LEE ZHOU,68,0.027
ANGELA ALIOTO,MICHELLE BRAVO,MARK LENO,68,0.027
ELLEN LEE ZHOU,RICHIE GREENBERG,JANE KIM,68,0.027
MARK LENO,ELLEN LEE ZHOU,MICHELLE BRAVO,68,0.027
JANE KIM,RICHIE GREENBERG,LONDON BREED,68,0.027
ELLEN LEE ZHOU,LONDON BREED,AMY FARAH WEISS,66,0.026
JANE KIM,JANE KIM,LONDON BREED,65,0.026
RICHIE GREENBERG,MARK LENO,AMY FARAH WEISS,65,0.026
,,LONDON BREED,64,0.025
JANE KIM,MICHELLE BRAVO,ELLEN LEE ZHOU,64,0.025
ANGELA ALIOTO,MICHELLE BRAVO,LONDON BREED,63,0.025
ANGELA ALIOTO,LONDON BREED,LONDON BREED,63,0.025
RICHIE GREENBERG,JANE KIM,ANGELA ALIOTO,63,0.025
MARK LENO,MICHELLE BRAVO,ELLEN LEE ZHOU,63,0.025
RICHIE GREENBERG,MARK LENO,MICHELLE BRAVO,63,0.025
JANE KIM,ELLEN LEE ZHOU,RICHIE GREENBERG,62,0.024
JANE KIM,RICHIE GREENBERG,MARK LENO,62,0.024
ELLEN LEE ZHOU,AMY FARAH WEISS,ANGELA ALIOTO,61,0.024
LONDON BREED,JANE KIM,JANE KIM,61,0.024
ANGELA ALIOTO,ANGELA ALIOTO,,60,0.024
RICHIE GREENBERG,ELLEN LEE ZHOU,JANE KIM,60,0.024
MARK LENO,MICHELLE BRAVO,AMY FARAH WEISS,59,0.023
RICHIE GREENBERG,ELLEN LEE ZHOU,MICHELLE BRAVO,58,0.023
ELLEN LEE ZHOU,JANE KIM,RICHIE GREENBERG,57,0.022
AMY FARAH WEISS,MARK LENO,LONDON BREED,57,0.022
ELLEN LEE ZHOU,LONDON BREED,MICHELLE BRAVO,57,0.022
ELLEN LEE ZHOU,MICHELLE BRAVO,AMY FARAH WEISS,56,0.022
JANE KIM,AMY FARAH WEISS,MICHELLE BRAVO,56,0.022
JANE KIM,MICHELLE BRAVO,ANGELA ALIOTO,56,0.022
LONDON BREED,,JANE KIM,55,0.022
LONDON BREED,MICHELLE BRAVO,,55,0.022
ANGELA ALIOTO,ANGELA ALIOTO,MARK LENO,54,0.021
MICHELLE BRAVO,,,54,0.021
,JANE KIM,,53,0.021
ANGELA ALIOTO,MICHELLE BRAVO,JANE KIM,53,0.021
ELLEN LEE ZHOU,JANE KIM,AMY FARAH WEISS,53,0.021
ELLEN LEE ZHOU,JANE KIM,MICHELLE BRAVO,52,0.02
ANGELA ALIOTO,AMY FARAH WEISS,MARK LENO,51,0.02
MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,51,0.02
JANE KIM,JANE KIM,,51,0.02
ANGELA ALIOTO,ANGELA ALIOTO,LONDON BREED,51,0.02
,ANGELA ALIOTO,,51,0.02
,MARK LENO,JANE KIM,50,0.02
MARK LENO,ANGELA ALIOTO,ANGELA ALIOTO,50,0.02
ELLEN LEE ZHOU,AMY FARAH WEISS,RICHIE GREENBERG,50,0.02
RICHIE GREENBERG,JANE KIM,,49,0.019
JANE KIM,RICHIE GREENBERG,AMY FARAH WEISS,49,0.019
RICHIE GREENBERG,MICHELLE BRAVO,ELLEN LEE ZHOU,49,0.019
RICHIE GREENBERG,AMY FARAH WEISS,ELLEN LEE ZHOU,49,0.019
ELLEN LEE ZHOU,AMY FARAH WEISS,MICHELLE BRAVO,48,0.019
JANE KIM,RICHIE GREENBERG,ANGELA ALIOTO,47,0.019
AMY FARAH WEISS,AMY FARAH WEISS,AMY FARAH WEISS,47,0.019
JANE KIM,MICHELLE BRAVO,LONDON BREED,46,0.018
RICHIE GREENBERG,AMY FARAH WEISS,MICHELLE BRAVO,46,0.018
